sample,frente,sex,time,weight,n_air,c_col,c_ap,o_ap,n_percent,c_percent,cn_ratio_uncalculated,cn_ratio,CI
VEN183,LV3,,Xol-Met,1.220,9.1,-8.5,-2.9,-8.9,16.1,45.2,2.8,3.27,3.9
VEN184,LV3,,Xol-Met,1.020,9.7,-8.6,,,10.8,30.9,2.9,3.35,3.9
VEN192,LV3,M,-,1.170,10.8,-7.8,-2.9,-9.4,9.7,27.5,2.8,3.32,3.9
VEN193,LV3,,Xol-Met,1.030,7.8,-8.9,-3.2,-9.3,16.9,48.8,2.9,3.37,3.5
VEN225,LV3,F,Xol-Met,0.820,9.4,-8.2,-3.6,-9.9,18.0,52.1,2.9,3.38,3.9
VEN226,LV3,F,Xol-Met,0.720,9.0,-8.6,-2.8,-8.0,19.8,57.3,2.9,3.37,3.9
VEN227,LV3,F,Xol-Met,0.930,9.2,-9.0,-3.6,-9.3,10.3,29.1,2.8,3.28,3.9
VEN231,LV3,F,Tlam,0.900,9.0,-7.8,-2.4,-8.3,18.0,51.2,2.8,3.31,3.9
VEN236,LV3,F,Xol-Met,0.750,9.9,-8.5,-3.8,-8.3,16.8,48.5,2.9,3.36,3.9
VEN247-1,LV3,F,Tlam,1.260,9.6,-8.1,-3.2,-8.3,8.6,24.2,2.8,3.30,3.7
VEN247-2,LV3,,Xol-Met,0.940,9.4,-8.2,-2.6,-6.4,15.8,44.9,2.8,3.32,2.9
VEN247-3,LV3,,Xol-Met,1.810,9.3,-7.7,-3.0,-6.1,10.0,28.8,2.9,3.35,3.0
VEN249,LV3,M,Tlam,2.080,8.4,-7.6,-3.7,-7.6,6.6,18.5,2.8,3.28,4.1
VEN250-1,LV3,F,Xol-Met,0.860,8.0,-8.1,-3.0,-5.9,16.7,48.4,2.9,3.37,3.2
VEN250-2,LV3,M,Tlam,0.890,7.8,-8.5,-2.9,-5.9,17.7,50.5,2.9,3.33,3.1
VEN271,LV3,M,Tlam,1.130,10.0,-7.5,-3.2,-7.2,7.1,20.5,2.9,3.37,3.5
VEN272,LV3,,Tlam,1.330,12.2,-6.4,-2.3,-7.7,10.0,28.6,2.9,3.36,3.6
VEN278,LV3,F,Tlam,1.900,9.1,-7.2,-2.4,-9.3,11.1,31.6,2.8,3.31,3.3
VEN288,LV3,,Tlam,0.710,8.3,-8.5,-3.1,-7.8,23.0,66.2,2.9,3.35,3.9
VEN293,LV3,M,Xol-Met,1.200,8.1,-8.0,-2.7,-6.7,5.7,16.9,2.9,3.42,3.7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
