provenance,compound,burial_id,element,component,c_ap,c_col,n_air,o_ap,reference,doi
Copan Valley,,Burial 1,,bone collagen,,-11.00,7.60,,Gerry 1993,https://www.proquest.com/docview/304062578?pq-origsite=gscholar&fromopenview=true
Copan Valley,,CP26,rib,bone collagen,,-7.23,10.02,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP405,rib,bone collagen,,-10.79,7.63,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP158,rib,bone collagen,,-9.48,6.96,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP22,rib,bone collagen,,-8.61,6.27,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP403,rib,bone collagen,,-9.58,6.90,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP23,rib,bone collagen,,-8.25,7.98,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP63,rib,bone collagen,,-8.36,7.75,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP106,rib,bone collagen,,-10.23,7.60,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP136,rib,bone collagen,,-9.02,7.68,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP142,rib,bone collagen,,-9.32,7.80,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP18,rib,bone collagen,,-8.62,7.50,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP195,rib,bone collagen,,-8.74,6.79,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP206,rib,bone collagen,,-8.36,7.17,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP209,rib,bone collagen,,-9.10,7.52,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP266,rib,bone collagen,,-9.03,7.80,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP300,rib,bone collagen,,-9.28,7.11,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP302,rib,bone collagen,,-8.67,7.52,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP59,rib,bone collagen,,-8.17,7.18,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP273,rib,bone collagen,,-8.53,6.93,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP24,rib,bone collagen,,-10.59,8.15,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP301,rib,bone collagen,,-8.84,7.00,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP105,rib,bone collagen,,-9.41,6.85,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP202,rib,bone collagen,,-9.10,7.16,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP216,rib,bone collagen,,-8.74,7.61,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP267,rib,bone collagen,,-8.74,8.20,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP305,rib,bone collagen,,-9.54,7.49,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP319,rib,bone collagen,,-9.26,8.18,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP388,rib,bone collagen,,-9.24,,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP39,rib,bone collagen,,-8.23,8.21,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP392,rib,bone collagen,,-8.37,7.69,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP399,rib,bone collagen,,-9.08,7.53,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP41,rib,bone collagen,,-9.42,6.86,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP68,rib,bone collagen,,-9.24,4.12,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP80,rib,bone collagen,,-8.66,7.70,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP99,rib,bone collagen,,-8.21,7.41,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP196,rib,bone collagen,,-10.12,7.63,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP318,fragments,bone collagen,,-9.32,8.11,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP332,rib,bone collagen,,-9.69,7.66,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP337,rib,bone collagen,,-8.79,8.10,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP135,rib,bone collagen,,-10.32,6.52,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP186,rib,bone collagen,,-10.19,7.07,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP187,rib,bone collagen,,-8.79,7.30,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP212,rib,bone collagen,,-10.32,7.48,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP217,rib,bone collagen,,-9.67,7.54,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP278,rib,bone collagen,,-9.72,7.37,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP280,rib,bone collagen,,-8.29,7.41,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP299,rib,bone collagen,,-10.38,8.26,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP35,rib,bone collagen,,-9.06,7.08,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP385,rib,bone collagen,,-9.68,7.07,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP397,rib,bone collagen,,-8.22,8.19,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
Copan Valley,,CP234,rib,bone collagen,,-9.17,7.02,,Reed 1998,https://www.proquest.com/docview/304454040/6F83700A94564560PQ/1?accountid=14709#
